Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.99598782399634,18.000111052265193,18.000111052265193,20.99598782399634,49.099910098948456,520.2798949219533,0.029496,312.8195901168554,0.00293627783203125,312.8195901168554,0.00293627783203125,520.2798949219533,0.029496,1663.981692860262,46.037582488885036,686.8973184122796,1.9700065436163798,1.9700065436163798,0.12998674,1666.1989700776176 
 01/15  02:00:00,-3.0,20.996202928016217,18.000350118958522,18.000350118958522,20.996202928016217,49.10054793196986,520.2876263495841,0.029496,312.8242465340751,0.00293627783203125,312.8242465340751,0.00293627783203125,520.2876263495841,0.029496,1664.0361810056859,46.03812012406394,686.9294905275385,1.970007014469507,1.970007014469507,0.12998674,1666.2237457673182 
 01/15  03:00:00,-3.0,20.996409080144268,18.000110602967037,18.000110602967037,20.996409080144268,49.101151244053625,520.2949976488376,0.029496,312.71071829388694,0.0029344775390625,312.71071829388694,0.0029344775390625,520.2949976488376,0.029496,1663.8525869506475,46.039061451984836,686.862855191849,1.9700078388715547,1.9700078388715547,0.12998674,1666.0114318854492 
 01/15  04:00:00,-3.0,20.996614415199325,18.000377302233375,18.000377302233375,20.996614415199325,49.101721565840265,520.3018388172982,0.029496,312.83549995673013,0.00293627783203125,312.83549995673013,0.00293627783203125,520.3018388172982,0.029496,1664.0532020805272,46.03926259708746,686.9543264836425,1.970008015031713,1.970008015031713,0.12998674,1666.2746775480568 
 01/15  05:00:00,-3.0,20.996803010930314,17.99987912438155,17.99987912438155,20.996803010930314,49.10225946023744,520.3081625307302,0.029496,312.7269429397804,0.0029344775390625,312.7269429397804,0.0029344775390625,520.3081625307302,0.029496,1663.8779527960467,46.04012314072013,686.8901420563295,1.970008768684651,1.970008768684651,0.12998674,1666.0702109410213 
 01/15  06:00:00,-3.0,20.996966587377397,18.00019361119309,18.00019361119309,20.996966587377397,49.102767932080084,520.3145605245453,0.029496,312.72770190350184,0.0029344775390625,312.72770190350184,0.0029344775390625,520.3145605245453,0.029496,1663.9218476919154,46.0405508934685,686.9159778939988,1.9700091433052784,1.9700091433052784,0.12998674,1666.0845248560943 
 01/15  07:00:00,-3.0,20.997128646323212,17.999935928080504,17.999935928080504,20.997128646323212,49.103249752228265,520.3204215689358,0.029496,312.736600781408,0.0029344775390625,312.736600781408,0.0029344775390625,520.3204215689358,0.029496,1663.919642515464,46.041036843696226,686.922378567615,1.9700095688945694,1.9700095688945694,0.12998674,1666.1140447006878 
 01/15  08:00:00,-3.0,20.99726783646071,17.999905618183483,17.999905618183483,20.99726783646071,49.103706358942866,520.3262648432978,0.029496,312.741679090118,0.0029344775390625,312.741679090118,0.0029344775390625,520.3262648432978,0.029496,1663.9405129971813,46.04145510326707,686.9379231028381,1.970009935201388,1.970009935201388,0.12998674,1666.1358878668316 
 01/15  09:00:00,-3.0,20.99739829257107,17.999930346765318,17.999930346765318,20.99739829257107,49.10414089261315,520.33189330015,0.029496,312.74592029332274,0.0029344775390625,312.74592029332274,0.0029344775390625,520.33189330015,0.029496,1663.9593795311323,46.041854971865504,686.9523055600287,1.9700102854017367,1.9700102854017367,0.12998674,1666.1556271869454 
 01/15  10:00:00,-3.0,20.9975260743617,17.9999859757195,17.9999859757195,20.9975260743617,49.10455461230508,520.337206083715,0.029496,312.74960055599524,0.0029344775390625,312.74960055599524,0.0029344775390625,520.337206083715,0.029496,1663.9765250934438,46.04223719535276,686.9656618352051,1.970010620148815,1.970010620148815,0.12998674,1666.1736132794206 
 01/15  11:00:00,-3.0,20.99765396693831,18.00006100464887,18.00006100464887,20.99765396693831,49.10494788602034,520.3421467977488,0.029496,312.75285735487154,0.0029344775390625,312.75285735487154,0.0029344775390625,520.3421467977488,0.029496,1663.992083021602,46.0426018905505,686.9780525318088,1.9700109395449181,1.9700109395449181,0.12998674,1666.1900083052408 
 01/15  12:00:00,-3.0,20.997782843427807,18.000148758400105,18.000148758400105,20.997782843427807,49.105320676386796,520.3466919639773,0.029496,312.7557666037689,0.0029344775390625,312.7557666037689,0.0029344775390625,520.3466919639773,0.029496,1664.0061460394086,46.04294884961885,686.9895153383168,1.9700112434080073,1.9700112434080073,0.12998674,1666.2049171354925 
 01/15  13:00:00,-3.0,20.9979125592876,18.00024498034564,18.00024498034564,20.9979125592876,49.1056728278602,520.3508378362308,0.029496,312.75837409571056,0.0029344775390625,312.75837409571056,0.0029344775390625,520.3508378362308,0.029496,1664.018798719837,46.043277764294,687.0000827877454,1.9700115314680942,1.9700115314680942,0.12998674,1666.218423863883 
 01/15  14:00:00,-3.0,20.998042478559533,18.000346730636586,18.000346730636586,20.998042478559533,49.10600421848738,520.3545922248886,0.029496,312.76071074493836,0.0029344775390625,312.76071074493836,0.0029344775390625,520.3545922248886,0.029496,1664.0301211474894,46.043588365094415,687.0097860723768,1.9700118034891547,1.9700118034891547,0.12998674,1666.2306059396537 
 01/15  15:00:00,-3.0,20.998171766269866,18.000451837987377,18.000451837987377,20.998171766269866,49.10631483239784,520.3579695076585,0.029496,312.76279943374936,0.0029344775390625,312.76279943374936,0.0029344775390625,520.3579695076585,0.029496,1664.0401921224607,46.043880484933915,687.0186574663868,1.9700120593248445,1.9700120593248445,0.12998674,1666.241537882816 
 01/15  16:00:00,-3.0,20.9982995484832,18.000341103132758,18.000341103132758,20.9982995484832,49.106604788250806,520.3609880108087,0.029496,312.768186499802,0.0029344775390625,312.768186499802,0.0029344775390625,520.3609880108087,0.029496,1664.0253109341634,46.04419787366048,687.0169136779269,1.9700123372908682,1.9700123372908682,0.12998674,1666.2583490212216 
 01/15  17:00:00,-3.0,20.998403166924724,18.000218907673144,18.000218907673144,20.998403166924724,49.10687489783572,520.3639772971959,0.029496,312.6507749497896,0.00293267724609375,312.6507749497896,0.00293267724609375,520.3639772971959,0.029496,1663.8568428188728,46.04477811004298,686.9514575089374,1.9700128454564965,1.9700128454564965,0.12998674,1666.0295044939708 
 01/15  18:00:00,-3.0,20.998502073461058,18.000556054549698,18.000556054549698,20.998502073461058,49.10712821203062,520.366791156446,0.029496,312.7714343595081,0.0029344775390625,312.7714343595081,0.0029344775390625,520.366791156446,0.029496,1664.0732126752907,46.04463320538103,687.0446335016795,1.9700127185503358,1.9700127185503358,0.12998674,1666.276451031908 
 01/15  19:00:00,-3.0,20.998597081327063,17.999979849639843,17.999979849639843,20.998597081327063,49.10736583022343,520.3694639014471,0.029496,312.65898768041114,0.00293267724609375,312.65898768041114,0.00293267724609375,520.3694639014471,0.029496,1663.8519803048032,46.04527806288975,686.9568989116798,1.9700132833108135,1.9700132833108135,0.12998674,1666.0569031637165 
 01/15  20:00:00,-3.0,20.998668400194056,18.00052448898057,18.00052448898057,20.998668400194056,49.10758896692032,520.3721809599488,0.029496,312.7767542138648,0.0029344775390625,312.7767542138648,0.0029344775390625,520.3721809599488,0.029496,1664.0934485797184,46.045056781865334,687.0599803664957,1.9700130895148318,1.9700130895148318,0.12998674,1666.297870347627 
 01/15  21:00:00,-3.0,20.998748613009965,18.000014512809308,18.000014512809308,20.998748613009965,49.10780030749175,520.374682026436,0.029496,312.6631341442005,0.00293267724609375,312.6631341442005,0.00293267724609375,520.374682026436,0.029496,1663.8696738087376,46.045680037642704,686.9707964734079,1.9700136353569055,1.9700136353569055,0.12998674,1666.075632341273 
 01/15  22:00:00,-3.0,20.998812748524063,18.000265375210134,18.000265375210134,20.998812748524063,49.10799935153348,520.3771098041557,0.029496,312.7844327824556,0.0029344775390625,312.7844327824556,0.0029344775390625,520.3771098041557,0.029496,1664.086698378552,46.045479648990025,687.0634211360284,1.9700134598582366,1.9700134598582366,0.12998674,1666.3230851732226 
 01/15  23:00:00,-3.0,20.99886532193883,18.00010507743033,18.00010507743033,20.99886532193883,49.10818835470086,520.3795644103529,0.029496,312.6666389678071,0.00293267724609375,312.6666389678071,0.00293267724609375,520.3795644103529,0.029496,1663.9168051238992,46.04598138855119,686.9961440055932,1.9700138992775413,1.9700138992775413,0.12998674,1666.0924067563199 
 01/15  24:00:00,-3.0,20.998917427202183,17.999944349430727,17.999944349430727,20.998917427202183,49.10836867275931,520.381998316525,0.029496,312.6698819158392,0.00293267724609375,312.6698819158392,0.00293267724609375,520.381998316525,0.029496,1663.8967243516772,46.046198696854916,686.9905890475757,1.9700140895944471,1.9700140895944471,0.12998674,1666.103760464728 
