Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly) 
 01/15  01:00:00,20.01604968992553,20.01604968992553,17.999367176950937,17.999367176950937,462.20884808785644,462.20884808785644,352.6174102121148,352.6174102121148,1625.4140337953108,464.4040096558031,4.019482200735824,4.019482200735824 
 01/15  02:00:00,20.01604215672561,20.01604215672561,17.999197342318567,17.999197342318567,462.20896193005444,462.20896193005444,352.61885473247213,352.61885473247213,1625.4068620473927,464.4019605849693,4.019482212896621,4.019482212896621 
 01/15  03:00:00,20.016033507922394,20.016033507922394,17.999749283563602,17.999749283563602,462.2090700554158,462.2090700554158,352.82367255415835,352.82367255415835,1625.7968009762815,464.51337170750907,4.019718984896595,4.019718984896595 
 01/15  04:00:00,20.016035477401665,20.016035477401665,17.999767382585134,17.999767382585134,462.20910446920925,462.20910446920925,352.6114802347671,352.6114802347671,1625.4125295808435,464.40357988024095,4.019482203282861,4.019482203282861 
 01/15  05:00:00,20.016049717350064,20.016049717350064,17.999399988003283,17.999399988003283,462.208921711378,462.208921711378,352.61672340466885,352.61672340466885,1625.4025106824404,464.4007173378401,4.019482220275027,4.019482220275027 
 01/15  06:00:00,20.016055605462554,20.016055605462554,17.999590260818014,17.999590260818014,462.20881797078374,462.20881797078374,352.7208618563962,352.7208618563962,1625.6005743309918,464.4573069517119,4.019600601027761,4.019600601027761 
 01/15  07:00:00,20.01605431250906,20.01605431250906,17.999414631068028,17.999414631068028,462.20880309717586,462.20880309717586,352.61692053357467,352.61692053357467,1625.412962577079,464.40370359345116,4.019482202552239,4.019482202552239 
 01/15  08:00:00,20.01605027791755,20.01605027791755,17.99923346322827,17.99923346322827,462.20886376086924,462.20886376086924,352.6184863426955,352.6184863426955,1625.4059269934705,464.40169342670583,4.0194822144821485,4.0194822144821485 
 01/15  09:00:00,20.016043437842004,20.016043437842004,17.999473914207467,17.999473914207467,462.2089432004665,462.2089432004665,352.72205101105806,352.72205101105806,1625.6032112771793,464.45806036490836,4.019600596556416,4.019600596556416 
 01/15  10:00:00,20.01603429895982,20.01603429895982,17.99984077827582,17.99984077827582,462.20904693344676,462.20904693344676,352.7162498986361,352.7162498986361,1625.6123091238628,464.4606597496751,4.019600581127211,4.019600581127211 
 01/15  11:00:00,20.016044808640302,20.016044808640302,17.99949189517729,17.99949189517729,462.2090165812011,462.2090165812011,352.61476423134513,352.61476423134513,1625.3985316564208,464.3995804732631,4.019482227022074,4.019482227022074 
 01/15  12:00:00,20.016056122280332,20.016056122280332,17.999651884551735,17.999651884551735,462.2088279652466,462.2088279652466,352.72018384707195,352.72018384707195,1625.5992296164595,464.45692274755976,4.01960060330793,4.01960060330793 
 01/15  13:00:00,20.01605909029521,20.01605909029521,17.99945704545688,17.99945704545688,462.2087519923306,462.2087519923306,352.61647938701753,352.61647938701753,1625.4119753162224,464.40342151892065,4.019482204226291,4.019482204226291 
 01/15  14:00:00,20.01605774799581,20.01605774799581,17.99926515570639,17.99926515570639,462.20877217774455,462.20877217774455,352.6181621628891,352.6181621628891,1625.4050934640468,464.4014552754419,4.0194822158955255,4.0194822158955255 
 01/15  15:00:00,20.016052320542347,20.016052320542347,17.999499025224758,17.999499025224758,462.2088292153985,462.2088292153985,352.72179959851627,352.72179959851627,1625.6024790574697,464.457851159277,4.019600597798005,4.019600597798005 
 01/15  16:00:00,20.01604370398525,20.01604370398525,17.999347412193828,17.999347412193828,462.2089235463277,462.2089235463277,352.6176109302775,352.6176109302775,1625.4145868883827,464.40416768239504,4.01948219979797,4.01948219979797 
 01/15  17:00:00,20.016035520127488,20.016035520127488,17.999181525637354,17.999181525637354,462.20904823003417,462.20904823003417,352.6190141459035,352.6190141459035,1625.4073543718962,464.4021012491132,4.01948221206181,4.01948221206181 
 01/15  18:00:00,20.016032915396018,20.016032915396018,18.000121347988756,18.000121347988756,462.20913264998603,462.20913264998603,352.817968076069,352.817968076069,1625.7953806460673,464.5129658988764,4.019718987301391,4.019718987301391 
 01/15  19:00:00,20.016046748084094,20.016046748084094,17.99957105068846,17.99957105068846,462.2089483309052,462.2089483309052,352.6153442085355,352.6153442085355,1625.4100779865216,464.40287942472054,4.019482207443503,4.019482207443503 
 01/15  20:00:00,20.016054600066848,20.016054600066848,17.999336499264473,17.999336499264473,462.20884142791215,462.20884142791215,352.6174109661627,352.6174109661627,1625.4037220046307,464.40106342989446,4.019482218221045,4.019482218221045 
 01/15  21:00:00,20.0160557258303,20.0160557258303,17.999550408689885,17.999550408689885,462.20880245295695,462.20880245295695,352.7212755877298,352.7212755877298,1625.6013742605628,464.457535503018,4.019600599671358,4.019600599671358 
 01/15  22:00:00,20.01605113427989,20.01605113427989,17.999386067608114,17.999386067608114,462.2088360024149,462.2088360024149,352.61721553254665,352.61721553254665,1625.4136196748022,464.4038913356577,4.019482201438029,4.019482201438029 
 01/15  23:00:00,20.01604512160732,20.01604512160732,17.99921175542501,17.99921175542501,462.2089267332134,462.2089267332134,352.6187077621596,352.6187077621596,1625.406496995108,464.40185628431664,4.019482213515623,4.019482213515623 
 01/15  24:00:00,20.01603727020219,20.01603727020219,17.999760774073152,17.999760774073152,462.2090222894037,462.2090222894037,352.8235575613258,352.8235575613258,1625.7964748864924,464.51327853899784,4.01971898544953,4.01971898544953 
